id,name,age,salary,hire_date,profile,department,bonus
1,Name_103,77.0,60000,2018-10-03,"{""address"": ""Street 39, City 32"", ""phone"": ""3129113310"", ""email"": ""email_306@example.com""}",Marketing,1063.0
2,Name_436,62.0,50000,2020-12-30,"{""address"": ""Street 16, City 45"", ""phone"": ""9249345156"", ""email"": ""email_233@example.com""}",Marketing,2133.0
3,Name_861,61.0,60000,2020-09-28,"{""address"": ""Street 47, City 40"", ""phone"": ""4042108025"", ""email"": ""email_62@example.com""}",HR,7065.0
4,Name_271,36.0,70000,2016-02-28,"{""address"": ""Street 4, City 38"", ""phone"": ""8898353262"", ""email"": ""email_384@example.com""}",,9391.0
5,Name_107,78.0,60000,2018-03-21,"{""address"": ""Street 39, City 42"", ""phone"": ""6164111442"", ""email"": ""email_766@example.com""}",IT,1420.0
6,Name_72,35.0,,2017-11-27,"{""address"": ""Street 76, City 19"", ""phone"": ""7608109254"", ""email"": ""email_63@example.com""}",IT,2477.0
7,Name_701,73.0,60000,2024-11-29,"{""address"": ""Street 30, City 30"", ""phone"": ""4350543159"", ""email"": ""email_938@example.com""}",Finance,3963.0
8,Name_21,18.0,60000,2015-05-30,,IT,6821.0
9,Name_615,42.0,50000,2023-12-14,"{""address"": ""Street 12, City 35"", ""phone"": ""7371529771"", ""email"": ""email_637@example.com""}",IT,4522.0
10,Name_122,44.0,50000,2015-12-14,"{""address"": ""Street 96, City 30"", ""phone"": ""3003338798"", ""email"": ""email_370@example.com""}",HR,
11,Name_467,24.0,70000,2024-02-10,"{""address"": ""Street 29, City 6"", ""phone"": ""6517386665"", ""email"": ""email_20@example.com""}",Finance,6466.0
12,Name_215,61.0,,,,IT,3456.0
13,Name_331,59.0,70000,2015-08-23,"{""address"": ""Street 72, City 2"", ""phone"": ""9017607386"", ""email"": ""email_577@example.com""}",IT,9888.0
14,Name_459,46.0,,2019-12-26,"{""address"": ""Street 89, City 17"", ""phone"": ""6506785996"", ""email"": ""email_163@example.com""}",,1393.0
