id,name,age,salary,hire_date,department,bonus,address,phone,email,address_length,salary_category
1,Name_103,77.0,60000.0,2018-10-03,Marketing,1063.0,"Street 39, City 32",3129113310.0,email_306@example.com,18,medium
2,Name_436,62.0,50000.0,2020-12-30,Marketing,2133.0,"Street 16, City 45",9249345156.0,email_233@example.com,18,low
3,Name_861,61.0,60000.0,2020-09-28,HR,7065.0,"Street 47, City 40",4042108025.0,email_62@example.com,18,medium
4,Name_271,36.0,70000.0,2016-02-28,Unknown,9391.0,"Street 4, City 38",8898353262.0,email_384@example.com,17,medium
5,Name_107,78.0,60000.0,2018-03-21,IT,1420.0,"Street 39, City 42",6164111442.0,email_766@example.com,18,medium
6,Name_72,35.0,60000.0,2017-11-27,IT,2477.0,"Street 76, City 19",7608109254.0,email_63@example.com,18,medium
7,Name_701,73.0,60000.0,2024-11-29,Finance,3963.0,"Street 30, City 30",4350543159.0,email_938@example.com,18,medium
8,Name_21,18.0,60000.0,2015-05-30,IT,6821.0,,,,3,medium
9,Name_615,42.0,50000.0,2023-12-14,IT,4522.0,"Street 12, City 35",7371529771.0,email_637@example.com,18,low
10,Name_122,44.0,50000.0,2015-12-14,HR,,"Street 96, City 30",3003338798.0,email_370@example.com,18,low
11,Name_467,24.0,70000.0,2024-02-10,Finance,6466.0,"Street 29, City 6",6517386665.0,email_20@example.com,17,medium
12,Name_215,61.0,60000.0,,IT,3456.0,,,,3,medium
13,Name_331,59.0,70000.0,2015-08-23,IT,9888.0,"Street 72, City 2",9017607386.0,email_577@example.com,17,medium
14,Name_459,46.0,60000.0,2019-12-26,Unknown,1393.0,"Street 89, City 17",6506785996.0,email_163@example.com,18,medium
15,Name_88,48.0,60000.0,2015-10-09,IT,5771.0,"Street 43, City 25",5229160846.0,email_777@example.com,18,medium
16,Name_373,61.0,60000.0,2017-05-04,HR,,"Street 83, City 33",4424910790.0,email_905@example.com,18,medium
17,Name_100,60.0,60000.0,,IT,4926.0,"Street 93, City 45",2973854297.0,email_720@example.com,18,medium
18,Name_872,53.0,60000.0,2022-10-01,IT,9413.0,"Street 1, City 40",1480282131.0,email_205@example.com,17,medium
19,Name_664,36.0,50000.0,2020-09-08,Marketing,8658.0,"Street 68, City 23",3188126552.0,email_718@example.com,18,low
